establecimiento_id,establecimiento_nombre_comercial,direccion,direccion_municipio_nombre,direccion_localidad_nombre,direccion_codigo_postal,numero_dormitorios_individuales_,numero_dormitorios_dobles_explot,plazas,longitud,latitud
A-38-4-0000685, Casa Tinali,C/. Oroteanda Baja Nº 14,San Miguel De Abona,San Miguel De Abona,38639,0,0,10,-16.636038,28.044252
A-38-4-0000719,La Casita De La Playa,"Paseo De La Playa, 4 4",Santa Cruz Tenerife,Santa Cruz De Tenerife,38140,0,0,2,-16.152084,28.523418
A-38-4-0000720,La Fortaleza,"C/ Doctor Virgos Pinto, 12-A",El Tanque,Tanque (El),38435,0,0,4,-16.780998,28.357187
A-38-4-0000721,Sara,"C/ Violeta Del Teide, 8 8",La Orotava,Orotava (La),38300,0,0,4,-16.53334,28.403917
A-38-4-0000722,Casa Vacacional El Mar,"C/ Ribera Del Mar, 16",San Juan De La Rambla,San Juan De La Rambla,38420,0,0,4,-16.629555,28.395336
A-38-4-0000723,Atico Los Cristianos,"Bulevar Chajofe, 3, Edf. Eden, 6º, Appto. 611",Arona,Cristianos (Los),38650,0,0,5,-16.71324,28.054688
A-38-4-0000724,Abades Sun House,"C/ Abona, 5 - Urb. Canteras Del Sol",Arico,Abades,38588,0,0,4,-16.4454,28.144814
A-38-4-0000726,Piso Gexel. Casco Histórico Con Garaje.,"C/ Marques De Celada, 53, Edf. Gexel, Portal A, 1ºb",San Cristobal De La Laguna,San Cristobal De La Laguna,38202,0,2,8,-16.323456,28.490482
A-38-4-0000727,Casa Carmen (Finca La Sorriba),"C/ Hoya Del Lagar, 22",La Guancha,Longueras (Las),38430,0,0,4,-16.672255,28.378025
A-38-4-0000728,Almar,"Paseo De Humboldt, 16, Blq.3/4, Appto. 322 16",Garachico,Caleta De Interian,38450,0,0,2,-16.791052,28.372911
A-38-4-0000729,Almar,"Paseo De Humboldt, 16, Blq.3/4, Appto. 4001",Garachico,Caleta De Interian,38450,0,0,2,-16.791052,28.372911
A-38-4-0000731,La Quinta,"Urb. La Quinta, C/ Codeso, 16 C",Santa Ursula,Quinta (La),38390,0,0,8,-16.492195,28.43038
A-38-4-0000733,Casa Paseo Mirabal,"Ctra. Vieja La Vega, Nº 1 1",Icod De Los Vinos,Icod De Los Vinos,38430,0,0,6,-16.734068,28.367645
A-38-4-0000735,Sin Denominacion,C/ Marques De Santa Cruz 32-1ºb,Guimar,Puertito De Güimar,38508,0,0,8,-16.371805,28.297087
A-38-4-0000737,Sin Denominacion,"Paseo De Humboldt, 32 Bajo, Apto. 41 32",Garachico,Caleta De Interian,38450,0,0,4,-16.791052,28.372911
A-38-4-0000738,Sin Denominacion,"C/ Jilguero, 9, Res. Mocal El Palm Mar Ii, Portal 2, 4ºq 9",Arona,Palm-Mar,38632,0,0,4,-16.695845,28.024771
A-38-4-0000739,Casa Las Salineras,"C/ Las Canales, 5",Buenavista Del Norte,Palmar (El),38480,0,0,4,-16.845261,28.343922
A-38-4-0000751,Casa Aguita,"C/ La Cruz, 19",San Juan De La Rambla,Aguas (Las),38420,0,0,2,-16.641817,28.396065
A-38-4-0000752,Casa Vacacional Tamaide,"C/ Tamaide, 98, Vivienda 3",Santa Ursula,Santa Ursula,38390,0,0,12,-16.501036,28.410173
